title,author,book_id,source,cover_url,asset_file,decision,confidence,reason
Charlotte Temple: A Tale of Truth,Susanna Haswell Rowson,charlotte-temple,standard-ebooks,/covers/charlotte-temple.jpg,public/covers/covers/charlotte-temple.jpg,remove,1,public-domain Standard Ebooks cover
Children’s Stories,Oscar Wilde,childrens-stories,standard-ebooks,/covers/childrens-stories.jpg,public/covers/covers/childrens-stories.jpg,remove,1,public-domain Standard Ebooks cover
"Clarissa: Or, the History of a Young Lady",Samuel Richardson,clarissa,standard-ebooks,/covers/clarissa.jpg,public/covers/covers/clarissa.jpg,remove,1,public-domain Standard Ebooks cover
"Cleopatra: Being an Account of the Fall and Vengeance of Harmachis, the Royal Egyptian, as Set Forth by His Own Hand",H. Rider Haggard,cleopatra,standard-ebooks,/covers/cleopatra.jpg,public/covers/covers/cleopatra.jpg,remove,1,public-domain Standard Ebooks cover
"Clotel: Or, The President’s Daughter: A Narrative of Slave Life in The United States",William Wells Brown,clotel,standard-ebooks,/covers/clotel.jpg,public/covers/covers/clotel.jpg,remove,1,public-domain Standard Ebooks cover
Clouds of Witness,Dorothy L. Sayers,clouds-of-witness,standard-ebooks,/covers/clouds-of-witness.jpg,public/covers/covers/clouds-of-witness.jpg,remove,1,public-domain Standard Ebooks cover
Commentaries on the Gallic War,Julius Caesar,commentaries-on-the-gallic-war,standard-ebooks,/covers/commentaries-on-the-gallic-war.jpg,public/covers/covers/commentaries-on-the-gallic-war.jpg,remove,1,public-domain Standard Ebooks cover
Coriolanus,William Shakespeare,coriolanus,standard-ebooks,/covers/coriolanus.jpg,public/covers/covers/coriolanus.jpg,remove,1,public-domain Standard Ebooks cover
Cornelli,Johanna Spyri,cornelli,standard-ebooks,/covers/cornelli.jpg,public/covers/covers/cornelli.jpg,remove,1,public-domain Standard Ebooks cover
Cousin Henry,Anthony Trollope,cousin-henry,standard-ebooks,/covers/cousin-henry.jpg,public/covers/covers/cousin-henry.jpg,remove,1,public-domain Standard Ebooks cover
Cranford,Elizabeth Gaskell,cranford,standard-ebooks,/covers/cranford.jpg,public/covers/covers/cranford.jpg,remove,1,public-domain Standard Ebooks cover
Crime and Punishment,Fyodor Dostoevsky,crime-and-punishment,standard-ebooks,/covers/crime-and-punishment.jpg,public/covers/covers/crime-and-punishment.jpg,remove,1,public-domain Standard Ebooks cover
Crome Yellow,Aldous Huxley,crome-yellow,standard-ebooks,/covers/crome-yellow.jpg,public/covers/covers/crome-yellow.jpg,remove,1,public-domain Standard Ebooks cover
"Cup of Gold: A Life of Sir Henry Morgan, Buccaneer, with Occasional References to History",John Steinbeck,cup-of-gold,standard-ebooks,/covers/cup-of-gold.jpg,public/covers/covers/cup-of-gold.jpg,remove,1,public-domain Standard Ebooks cover
Cymbeline,William Shakespeare,cymbeline,standard-ebooks,/covers/cymbeline.jpg,public/covers/covers/cymbeline.jpg,remove,1,public-domain Standard Ebooks cover
"Dangerous Liaisons: A Series of Letters, Selected from the Correspondence of a Private Circle; and Published for the Instruction of Society",Pierre Choderlos de Laclos,dangerous-liaisons,standard-ebooks,/covers/dangerous-liaisons.jpg,public/covers/covers/dangerous-liaisons.jpg,remove,1,public-domain Standard Ebooks cover
Daniel Deronda,George Eliot,daniel-deronda,standard-ebooks,/covers/daniel-deronda.jpg,public/covers/covers/daniel-deronda.jpg,remove,1,public-domain Standard Ebooks cover
Darkwater: Voices from Within the Veil,W. E. B. Du Bois,darkwater,standard-ebooks,/covers/darkwater.jpg,public/covers/covers/darkwater.jpg,remove,1,public-domain Standard Ebooks cover
David Copperfield,Charles Dickens,david-copperfield,standard-ebooks,/covers/david-copperfield.jpg,public/covers/covers/david-copperfield.jpg,remove,1,public-domain Standard Ebooks cover
Dead Souls,Nikolai Gogol,dead-souls,standard-ebooks,/covers/dead-souls.jpg,public/covers/covers/dead-souls.jpg,remove,1,public-domain Standard Ebooks cover
Death Comes for the Archbishop,Willa Cather,death-comes-for-the-archbishop,standard-ebooks,/covers/death-comes-for-the-archbishop.jpg,public/covers/covers/death-comes-for-the-archbishop.jpg,remove,1,public-domain Standard Ebooks cover
Decline and Fall,Evelyn Waugh,decline-and-fall,standard-ebooks,/covers/decline-and-fall.jpg,public/covers/covers/decline-and-fall.jpg,remove,1,public-domain Standard Ebooks cover
Demons,Fyodor Dostoevsky,demons,standard-ebooks,/covers/demons.jpg,public/covers/covers/demons.jpg,remove,1,public-domain Standard Ebooks cover
Dialogues,Seneca,dialogues,standard-ebooks,/covers/dialogues.jpg,public/covers/covers/dialogues.jpg,remove,1,public-domain Standard Ebooks cover
"Dick Sands, the Boy Captain",Jules Verne,dick-sands-the-boy-captain,standard-ebooks,/covers/dick-sands-the-boy-captain.jpg,public/covers/covers/dick-sands-the-boy-captain.jpg,remove,1,public-domain Standard Ebooks cover
Discourses,Epictetus,discourses,standard-ebooks,/covers/discourses.jpg,public/covers/covers/discourses.jpg,remove,1,public-domain Standard Ebooks cover
Discourses on Livy,Niccolò Machiavelli,discourses-on-livy,standard-ebooks,/covers/discourses-on-livy.jpg,public/covers/covers/discourses-on-livy.jpg,remove,1,public-domain Standard Ebooks cover
Doctor Syn: A Smuggler Tale of the Romney Marsh,Russell Thorndike,doctor-syn,standard-ebooks,/covers/doctor-syn.jpg,public/covers/covers/doctor-syn.jpg,remove,1,public-domain Standard Ebooks cover
Doctor Thorne,Anthony Trollope,doctor-thorne,standard-ebooks,/covers/doctor-thorne.jpg,public/covers/covers/doctor-thorne.jpg,remove,1,public-domain Standard Ebooks cover
Dodsworth,Sinclair Lewis,dodsworth,standard-ebooks,/covers/dodsworth.jpg,public/covers/covers/dodsworth.jpg,remove,1,public-domain Standard Ebooks cover
Dombey and Son,Charles Dickens,dombey-and-son,standard-ebooks,/covers/dombey-and-son.jpg,public/covers/covers/dombey-and-son.jpg,remove,1,public-domain Standard Ebooks cover
Don Juan,Lord Byron,don-juan,standard-ebooks,/covers/don-juan.jpg,public/covers/covers/don-juan.jpg,remove,1,public-domain Standard Ebooks cover
